trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	66	None			NaN	0	0	0.0656137999612838	0.575139499967918	2.49732599995332
2	1	2	filler	65	None			NaN	0	3.5	3.51519979996374	4.01622819999466	5.99844939995091
3	1	3	distractor	44	Right	Right	RightArrow	1	1.57118430000264	7	7.01259899995057	7.51544299995294	9.49303919996601
4	1	4	target	64	Left	Right	RightArrow	0	2.78161529998761	11	11.0051629999653	11.5003861999721	13.4976494999719
5	1	5	target	45	Left	Left	LeftArrow	1	2.01987890002783	15	15.0022418999579	15.5289197999518	17.4965375999454
6	1	6	distractor	22	Right	Right	RightArrow	1	1.65168100001756	19	19.0091484999866	19.5030376999639	21.4933751999633
7	1	7	target	43	Left	Left	LeftArrow	1	1.7708434999804	23	22.9993395999772	23.4992263999884	25.4931431000005
8	1	8	distractor	2	Right	Left	LeftArrow	0	1.83630859997356	27	27.0058829999762	27.4964354999829	29.4933556999895
9	1	9	distractor	3	Right			-1	0	31	31.0049263999681	31.4975222999929	33.4943312999676
10	1	10	distractor	24	Right	Right	RightArrow	1	0.947870399977546	35	35.0202356999507	35.4962063999847	37.4934589999611
11	1	11	target	1	Left	Left	LeftArrow	1	0.54972650000127	39	39.004700999998	39.498685599945	41.4931777999736
12	1	12	target	23	Left	Left	LeftArrow	1	1.54242129996419	43	43.0046582999639	43.4980422999943	45.4935223999782
