trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	81	None			NaN	0	0	0.0835393001325428	0.505021700169891	2.49474910018034
2	1	2	filler	80	None			NaN	0	3.5	3.50703390012495	4.00654650013894	5.99397199996747
3	1	3	target	82	Left	Left	LeftArrow	1	1.32782729994506	7	7.00628980016336	7.5002950001508	9.49346880009398
4	1	4	distractor	2	Right	Right	RightArrow	1	1.2721351000946	11	11.0043440000154	11.5032780000474	13.4934539000969
5	1	5	distractor	4	Right	Right	RightArrow	1	1.1355395000428	15	15.0046890999656	15.5033502001315	17.4934970000759
6	1	6	distractor	77	Right	Left	LeftArrow	0	1.76456300006248	19	18.9992578001693	19.5014929999597	21.4936778000556
7	1	7	target	3	Left	Right	RightArrow	0	1.41891360003501	23	22.9996807000134	23.5020010001026	25.4934684000909
8	1	8	target	83	Left	Left	LeftArrow	1	1.90615739999339	27	26.9997225000989	27.498213400133	29.493373400066
9	1	9	distractor	79	Right	Right	RightArrow	1	1.72858969983645	31	30.9989361001644	31.4973314001691	33.4934633001685
10	1	10	target	78	Left	Left	LeftArrow	1	1.15490869991481	35	34.9994568000548	35.4982475000434	37.4933766000904
11	1	11	target	84	Left	Right	RightArrow	0	1.42344320006669	39	38.999584000092	39.4992762999609	41.4934726001229
12	1	12	distractor	1	Right	Right	RightArrow	1	1.85901759983972	43	43.0048873000778	43.4974937001243	45.493468800094
