trial_id	block	trial	type	stim_id	cresp	resp	resp_raw	acc	rt	trial_start_time_expt	trial_start_time	stim_onset_time	stim_offset_time
1	1	1	filler	43	None			NaN	0	0	0.0811399000231177	0.505279900040478	2.49409730010666
2	1	2	filler	65	None			NaN	0	3.5	3.50716430018656	4.00337520008907	5.99824880016968
3	1	3	distractor	3	Right	Right	RightArrow	1	1.61987819988281	7	7.00883150007576	7.50352940009907	9.49347350001335
4	1	4	target	64	Left	Right	RightArrow	0	1.48042699997313	11	11.0052302000113	11.5036482000723	13.4934579001274
5	1	5	target	1	Left	Left	LeftArrow	1	1.64551579998806	15	15.0038616000675	15.4994094001595	17.4934414001182
6	1	6	distractor	44	Right	Right	RightArrow	1	1.36059490009211	19	19.0041349001694	19.498546600109	21.4932343000546
7	1	7	target	2	Left	Left	LeftArrow	1	1.3077714999672	23	22.9999179001898	23.4995888001285	25.4930432001129
8	1	8	target	45	Left	Left	LeftArrow	1	1.39524800004438	27	26.9996399001684	27.4998169001192	29.4934935001656
9	1	9	distractor	66	Right	Right	RightArrow	1	1.72288529993966	31	30.9991415000986	31.496551600052	33.4933869000524
10	1	10	distractor	24	Right	Left	LeftArrow	0	1.299645899795	35	34.9996803000104	35.5019524001982	37.4933977001347
11	1	11	distractor	23	Right	Left	LeftArrow	0	2.00422520004213	39	39.0044911999721	39.5016783999745	41.4987667000387
12	1	12	target	22	Left	Left	LeftArrow	1	1.5170307001099	43	43.0000998000614	43.5011479000095	45.4933659001254
